@relation Training

@attribute COUNT numeric
@attribute "POWER SUPPLY VOLTAGE" numeric
@attribute CURRENT numeric
@attribute FREQUENCY numeric
@attribute "NOISE LEVEL" numeric
@attribute "OPERATING VOLTAGE RANGE" numeric


@data
1 , 13.19 , 1.67 , 378 , 112.22 , 5.87 
100 , 13.17 , 1.62 , 374 , 105.65 , 6.44 
200 , 13.15 , 1.59 , 374 , 106.72 , 7.1 
300 , 13.14 , 1.58 , 376 , 110.54 , 6.35 
400 , 13.18 , 1.57 , 370 , 109.48 , 6.36 
500 , 13.15 , 1.56 , 380 , 107.16 , 6.59 
600 , 13.14 , 1.55 , 372 , 107.2 , 6.81 
700 , 13.16 , 1.54 , 376 , 109.23 , 7.38 
800 , 13.14 , 1.54 , 370 , 107.89 , 6.42 
900 , 13.13 , 1.53 , 378 , 105.64 , 7.31 
1000 , 13.11 , 1.54 , 376 , 107.71 , 6.75 
1100 , 13.17 , 1.53 , 376 , 105.54 , 6.53 
1200 , 13.12 , 1.53 , 366 , 105.73 , 6.66 
1300 , 13.16 , 1.51 , 374 , 107.13 , 6.63 
1400 , 13.17 , 1.53 , 370 , 107.62 , 6.61 
1500 , 13.17 , 1.51 , 372 , 108.1 , 6.43 
1600 , 13.15 , 1.54 , 374 , 108.94 , 6.45 
1700 , 13.18 , 1.51 , 374 , 107.97 , 6.79 
1800 , 13.18 , 1.53 , 374 , 108.62 , 6.66 
1900 , 13.18 , 1.52 , 382 , 107.54 , 7.45 
2000 , 13.16 , 1.51 , 390 , 108.39 , 7.15 
2100 , 13.19 , 1.53 , 368 , 107.22 , 7.12 
2200 , 13.16 , 1.53 , 376 , 107.08 , 7.3 
2300 , 13.2 , 1.52 , 378 , 107.54 , 6.91 
2400 , 13.17 , 1.49 , 372 , 107.72 , 7.18 
2500 , 13.18 , 1.51 , 390 , 107.61 , 6.73 
2600 , 13.18 , 1.51 , 380 , 107.06 , 6.41 
2700 , 13.18 , 1.5 , 384 , 106.71 , 6.73 
2800 , 13.18 , 1.53 , 378 , 106.73 , 6.97 
2900 , 13.17 , 1.5 , 388 , 105.13 , 6.81 
3000 , 13.15 , 1.52 , 368 , 107.02 , 6.67 
3100 , 13.16 , 1.5 , 368 , 105.95 , 6.75 
3200 , 13.15 , 1.51 , 372 , 105.58 , 6.9 
3300 , 13.15 , 1.5 , 370 , 104.92 , 7.54 
3400 , 13.15 , 1.51 , 384 , 105.63 , 7.3 
3500 , 13.15 , 1.51 , 368 , 105.7 , 6.47 
3600 , 13.16 , 1.51 , 390 , 104.44 , 6.97 
3700 , 13.17 , 1.52 , 374 , 106.09 , 6.47 
3800 , 13.19 , 1.5 , 380 , 104.13 , 7.08 
3900 , 13.14 , 1.5 , 382 , 103.94 , 6.75 
4000 , 13.16 , 1.49 , 370 , 105.33 , 6.98 
4100 , 13.19 , 1.49 , 386 , 105.14 , 6.47 
4200 , 13.15 , 1.54 , 370 , 104.57 , 6.97 
4300 , 13.16 , 1.49 , 368 , 105.9 , 6.68 
4400 , 13.16 , 1.48 , 378 , 105.11 , 6.56 
4500 , 13.16 , 1.49 , 364 , 105.46 , 6.63 
4600 , 13.17 , 1.48 , 380 , 106.06 , 6.55 
4700 , 13.15 , 1.48 , 384 , 105.61 , 6.89 
4800 , 13.16 , 1.48 , 388 , 105.33 , 6.61 
4900 , 13.16 , 1.48 , 374 , 106.15 , 7.08 
5000 , 13.17 , 1.48 , 370 , 105.79 , 6.39 
5100 , 13.16 , 1.49 , 396 , 105.86 , 6.82 
5200 , 13.15 , 1.48 , 396 , 105.12 , 7.28 
5300 , 13.17 , 1.49 , 392 , 104.77 , 6.45 
5400 , 13.16 , 1.47 , 378 , 104.75 , 6.87 
5500 , 13.17 , 1.48 , 376 , 105.64 , 7.13 
5600 , 13.19 , 1.48 , 376 , 105.22 , 6.62 
5700 , 13.14 , 1.48 , 380 , 104.8 , 6.45 
5800 , 13.2 , 1.49 , 386 , 105.48 , 7.12 
5900 , 13.18 , 1.48 , 388 , 104.59 , 6.92 
6000 , 13.16 , 1.48 , 382 , 105.21 , 7.12 
6100 , 13.15 , 1.47 , 372 , 103.57 , 6.27 
6200 , 13.18 , 1.5 , 376 , 105 , 6.47 
6300 , 13.16 , 1.46 , 380 , 105.01 , 6.8 
6400 , 13.18 , 1.47 , 384 , 105.06 , 6.58 
6500 , 13.17 , 1.48 , 382 , 105.5 , 6.52 
6600 , 13.15 , 1.47 , 380 , 104.38 , 6.95 
6700 , 13.17 , 1.48 , 362 , 105.09 , 6.89 
6800 , 13.15 , 1.48 , 370 , 104.84 , 7.14 
6900 , 13.16 , 1.49 , 378 , 103.64 , 6.31 
7000 , 13.16 , 1.48 , 360 , 105.72 , 6.25 
7100 , 13.16 , 1.48 , 368 , 104.95 , 7.17 
7200 , 13.17 , 1.46 , 376 , 105.45 , 6.26 
7300 , 13.16 , 1.46 , 366 , 104.97 , 6.84 
7400 , 13.15 , 1.47 , 366 , 105.11 , 6.65 
7500 , 13.15 , 1.47 , 360 , 106.16 , 6.53 
7600 , 13.15 , 1.45 , 378 , 107.14 , 7.06 
7700 , 13.18 , 1.46 , 370 , 106.94 , 7.04 
7800 , 13.16 , 1.46 , 370 , 106.37 , 6.5 
7900 , 13.15 , 1.47 , 360 , 106.11 , 6.24 
8000 , 13.18 , 1.47 , 362 , 106.91 , 6.88 
8100 , 13.2 , 1.45 , 382 , 106.87 , 7 
8200 , 13.17 , 1.47 , 366 , 105.92 , 7.17 
8300 , 13.13 , 1.46 , 374 , 106.57 , 6.76 
8400 , 13.13 , 1.49 , 356 , 105.74 , 6.52 
8500 , 13.15 , 1.48 , 368 , 106.51 , 6.47 
8600 , 13.13 , 1.47 , 368 , 107.37 , 7.12 
8700 , 13.15 , 1.47 , 362 , 106.56 , 6.57 
8800 , 13.15 , 1.47 , 366 , 106.87 , 6.23 
8900 , 13.15 , 1.47 , 364 , 106.69 , 6.29 
9000 , 13.17 , 1.46 , 364 , 107.62 , 6.28 
9100 , 13.15 , 1.47 , 370 , 106.53 , 6.8 
9200 , 13.14 , 1.47 , 356 , 106.72 , 6.68 
9300 , 13.13 , 1.46 , 364 , 106.12 , 6.58 
9400 , 13.14 , 1.43 , 366 , 106.79 , 1.05 
9500 , 13.12 , 1.46 , 372 , 106 , 6.41 
9600 , 13.16 , 1.45 , 386 , 105.85 , 6.49 
9700 , 13.15 , 1.45 , 374 , 106.16 , 6.66 
9800 , 13.16 , 1.46 , 364 , 105.85 , 6.32 
9900 , 13.1 , 1.47 , 358 , 106.27 , 7.2 
10000 , 13.14 , 1.45 , 362 , 106.44 , 6.8 
10100 , 13.13 , 1.47 , 366 , 106.82 , 6.98 
10200 , 13.11 , 1.45 , 374 , 106.46 , 6.85 
10300 , 13.13 , 1.48 , 362 , 107.54 , 6.97 
