TESTING PARAMETERS,POWER SUPPLY VOLTAGE,CURRENT,FREQUENCY,NOISE LEVEL,OPERATING VOLTAGE RANGE
0,13.14,1.66,350,108.59,6.98
2,13.09,1.65,348,109.71,6.73
100,13.1,1.67,350,108.52,6.95
200,13.07,1.65,348,107.36,7.91
300,13.09,1.69,352,107.48,7.67
400,13.1,1.7,352,107.15,7.87
500,13.11,1.68,350,107.49,7.88
600,13.07,1.73,352,106.34,7.85
700,13.08,1.69,352,107.51,7.8
800,13.12,1.73,352,107.26,7.88
900,13.09,1.71,352,107.62,7.88
1000,13.12,1.68,350,108.21,7.96
1100,13.07,1.68,350,106.66,7.93
1200,13.1,1.68,350,106.57,7.85
1300,13.09,1.65,350,104.21,7.81
1400,13.11,1.66,350,106.28,7.65
1500,13.1,1.7,352,106.88,7.87
1600,13.11,1.66,350,106,7.87
1700,13.12,1.67,350,106.21,6.98
1777,13.1,1.68,352,107.37,7.66
1800,13.1,1.64,348,101.28,7.92
1900,13.13,1.67,352,107.73,7.6
1942,13.07,1.74,354,105.02,7.01
2000,13.07,1.69,350,109.42,7.85
2100,13.13,1.7,352,108.59,7.63
2175,13.08,1.66,348,110.57,6.92
2200,13.1,1.68,348,108.86,7.88
2300,13.09,1.66,348,109.37,7.82
2400,13.1,1.7,352,106.49,6.94
2500,13.08,1.65,350,107.64,7.83
2600,13.09,1.67,350,107.56,7.86
2700,13.07,1.69,352,108.71,7.57
2800,13.08,1.68,352,107.96,7.9
2900,13.08,1.69,352,107.53,7.81
3000,13.08,1.66,350,107.02,7.88
3100,13.08,1.67,350,106.33,7.84
3200,13.09,1.66,350,106.99,7.88
3300,13.07,1.67,350,106.6,7.85
3400,13.08,1.67,352,107.02,7.83
3500,13.09,1.65,350,101.42,7.93
3600,13.1,1.67,350,104.34,7.84
3700,13.11,1.67,350,106.49,8.52
3800,13.1,1.65,348,102.56,8.8
3900,13.09,1.67,348,103.86,7.88
4000,13.07,1.66,348,104.3,7.93
4100,13.09,1.63,348,101.58,7.62
4200,13.09,1.67,350,105.63,7.86
4300,13.08,1.65,348,101.88,7.8
4400,13.08,1.66,350,102.56,7.85
4500,13.1,1.65,348,101.06,6.92
4600,13.1,1.66,350,100.76,7.89
4700,13.09,1.65,348,103.42,7.9
4800,13.12,1.64,346,104.04,7.84
4900,13.1,1.69,348,101.83,7.91
5000,13.12,1.67,348,103.4,7.83
5100,13.08,1.69,350,103.72,7.87
5200,13.07,1.69,352,105.35,6.89
5300,13.11,1.68,352,102.6,6.69
5400,13.08,1.67,348,102.55,7.81
5500,13.1,1.68,348,100.68,7.83
5600,13.11,1.67,348,100.65,7.8
5700,13.11,1.6,346,102.2,7.59
5800,13.09,1.64,346,103.45,7.84
5900,13.11,1.67,348,101.12,7.82
6000,13.1,1.66,346,101.91,7.87
6100,13.11,1.66,348,102.2,7.82
6200,13.08,1.68,348,100.83,7.87
6300,13.1,1.68,350,101.52,7.79
6400,13.08,1.67,348,103.26,8.83
6500,13.1,1.65,346,103.56,8.74
6532,13.11,1.72,348,104.51,6.93
6600,13.12,1.66,344,104.19,8.78
6700,13.1,1.66,348,102.86,7.88
6800,13.11,1.66,346,101.67,7.83
6900,13.12,1.68,348,101.42,7.82
7000,13.11,1.68,348,102.04,7.81
7100,13.09,1.68,346,101.34,7.83
7200,13.11,1.68,348,102.47,8.74
7300,13.13,1.68,346,103.72,7.84
7400,13.07,1.65,348,103.91,6.98
7500,13.06,1.66,348,101.91,8.67
7600,13.06,1.7,350,104.92,7.8
7700,13.07,1.66,348,101.98,7.79
7800,13.05,1.64,348,102.12,7.81
7900,13.07,1.63,346,103.61,7.81
8000,13.04,1.64,348,103.01,7.61
8100,13.06,1.62,348,103.13,7.85
8200,13.06,1.67,348,102.2,7.86
8300,13.05,1.65,348,102.52,6.9
8400,13.05,1.64,348,103.16,7.84
8500,13.07,1.63,348,102.77,7.85
8600,13.06,1.6,346,102.05,7.77
8700,13.03,1.63,348,103.78,7.84
8800,13.04,1.66,348,102.17,6.95
8900,13.06,1.65,346,104.09,7.79
9000,13.02,1.62,346,104.16,7.82
9100,13.06,1.59,344,102.39,8.78
9200,13.03,1.58,344,103.27,7.8
9300,13.04,1.63,346,103.67,7.83
9400,13.05,1.65,350,102.25,7.81
9500,13.04,1.63,348,104.37,7.75
9600,13.06,1.63,348,104.2,7.8
9700,13.07,1.63,346,103.46,8.43
9800,13.05,1.63,348,104.65,7.82
9900,13.03,1.63,346,103.64,7.55
10000,13.04,1.61,346,101.34,7.8
10100,13.05,1.63,348,103.23,7.81
10200,13.04,1.59,346,103.25,7.79
10300,13.05,1.63,346,102.86,7.78
10400,13.04,1.66,346,103.35,7.8
10500,13.05,1.63,346,103.7,7.83
10600,13.05,1.63,346,102.36,7.58
