@RELATION H4

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL

@DATA
0,13.1,1.67,360,107.51,6.04
2,13.1,1.63,358,105.84,6.19
100,13.09,1.63,360,105.73,6.96
200,13.09,1.6,360,106.41,6.97
300,13.14,1.58,358,105.34,6.97
400,13.12,1.58,358,104.44,6.98
500,13.11,1.59,360,104.87,6.98
600,13.11,1.6,358,105.74,7.02
700,13.11,1.6,360,105.68,6.93
800,13.11,1.6,360,105.15,6.94
900,13.1,1.62,360,105.54,7.01
1000,13.08,1.59,360,105.31,6.98
1100,13.09,1.59,360,104.88,6.97
1200,13.1,1.6,358,104.61,6.96
1300,13.09,1.59,360,104.87,7.05
1400,13.11,1.59,360,104.42,7.02
1500,13.12,1.59,358,105.23,6.98
1600,13.11,1.6,358,105.11,6.69
1700,13.1,1.59,358,105.32,6.94
1777,13.08,1.59,360,106.71,7.07
1800,13.09,1.61,360,105.3,6.97
1900,13.12,1.6,358,105.38,7.01
1942,13.13,1.65,362,108.88,6.03
2000,13.11,1.6,358,105.05,6.91
2100,13.1,1.59,358,105.58,6.74
2175,13.11,1.66,358,108.91,6.09
2200,13.09,1.65,358,105.76,6.81
2300,13.09,1.6,358,106.11,6.99
2400,13.1,1.57,358,103.18,7
2500,13.09,1.56,356,105.32,7.02
2600,13.08,1.56,356,104.95,7.01
2700,13.09,1.57,358,105.41,7.06
2800,13.12,1.57,360,103.91,7.07
2900,13.08,1.59,358,104.62,6.96
3000,13.12,1.57,358,104.1,7.02
3100,13.1,1.6,358,104.33,6.99
3200,13.06,1.57,358,103.75,6.94
3300,13.1,1.57,358,104.67,7.03
3400,13.09,1.58,358,104.66,6.68
3500,13.11,1.57,358,104.52,7
3600,13.06,1.58,358,104.26,6.97
3700,13.1,1.59,358,104.71,6.96
3800,13.09,1.6,358,104.34,6.99
3900,13.09,1.59,358,104.26,7
4000,13.08,1.59,358,104.13,6.99
4100,13.09,1.6,358,104.94,7.01
4200,13.09,1.63,360,104.4,6.94
4300,13.11,1.59,358,103.94,7.02
4400,13.12,1.61,358,104.6,7.01
4500,13.11,1.6,358,104.22,6.94
4600,13.08,1.61,358,105.61,6.99
4700,13.09,1.64,360,104.55,7.05
4800,13.08,1.61,358,104.22,6.94
